epoch,step,train_loss,val_loss
0,0,129.0136260986328,
0,0,,131.2927703857422
1,1,128.0707550048828,
1,1,,130.34005737304688
2,2,127.14141082763672,
2,2,,129.39183044433594
3,3,126.21871185302734,
3,3,,128.45310974121094
4,4,125.30252838134766,
4,4,,127.5383529663086
5,5,124.40975189208984,
5,5,,126.64714050292969
6,6,123.54055786132812,
6,6,,125.76847839355469
7,7,122.6812973022461,
7,7,,124.89474487304688
8,8,121.8270034790039,
8,8,,124.03445434570312
9,9,120.99083709716797,
9,9,,123.19011688232422
