epoch,step,train_loss,val_loss
0,0,161.56143188476562,
0,0,,166.54022216796875
1,1,160.56556701660156,
1,1,,165.50161743164062
2,2,159.5719757080078,
2,2,,164.46975708007812
3,3,158.58567810058594,
3,3,,163.4452667236328
4,4,157.6049041748047,
4,4,,162.44412231445312
5,5,156.65025329589844,
5,5,,161.4634552001953
6,6,155.71543884277344,
6,6,,160.48971557617188
7,7,154.7827606201172,
7,7,,159.53456115722656
8,8,153.8672637939453,
8,8,,158.586669921875
9,9,152.9614715576172,
9,9,,157.64871215820312
